Ticker,Shares,Cost ($),Entry Price,Current Price,Current Val ($),P&L ($),Return (%)
LITE,0.0442,5.27,116.27,815.75,36.07,30.8,601.6
COHR,0.0512,5.27,115.44,255.1,13.06,7.79,121.0
VRT,0.0362,4.86,139.81,262.3,9.49,4.63,87.6
GOOG,0.0256,5.23,201.64,303.93,7.77,2.54,50.7
MRVL,0.0697,5.25,77.23,109.38,7.62,2.37,41.6
GLD,0.0165,5.11,308.55,431.81,7.12,2.01,39.9
EQIX,0.0067,5.26,762.69,1007.29,6.77,1.51,32.1
AMD,0.0859,14.02,172.76,221.53,19.02,5.0,28.2
SNDR,0.1993,4.86,23.7,27.44,5.47,0.61,15.8
AVGO,0.0189,5.7,303.23,333.97,6.31,0.61,10.1
ANET,0.0422,5.8,139.18,133.64,5.64,-0.16,-4.0
